id_alumne,id_professor,dia,franja,materia,grup_curs,tipus_falta,comentari
111,440,2014-09-30,09:15:00-10:15:00,(LC2)Llengua catalana i literatura,(ESO LOE 2 C) 2 ESO C,Absència, 
39,440,2014-10-07,09:15:00-10:15:00,(LC2)Llengua catalana i literatura,(ESO LOE 2 C) 2 ESO C,Absència, 
180,440,2014-10-07,09:15:00-10:15:00,(LC2)Llengua catalana i literatura,(ESO LOE 2 C) 2 ESO C,Absència, 
111,440,2014-10-07,09:15:00-10:15:00,(LC2)Llengua catalana i literatura,(ESO LOE 2 C) 2 ESO C,Absència, 
143,440,2014-10-09,12:50:00-13:45:00,(LC2)Llengua catalana i literatura,(ESO LOE 2 C) 2 ESO C,Justificada, 
128,440,2014-10-09,12:50:00-13:45:00,(LC2)Llengua catalana i literatura,(ESO LOE 2 C) 2 ESO C,Absència, 
39,440,2014-10-13,11:35:00-12:35:00,(LC2)Llengua catalana i literatura,(ESO LOE 2 C) 2 ESO C,Absència, 
111,440,2014-10-13,11:35:00-12:35:00,(LC2)Llengua catalana i literatura,(ESO LOE 2 C) 2 ESO C,Absència, 
179,440,2014-10-16,12:50:00-13:45:00,(LC2)Llengua catalana i literatura,(ESO LOE 2 C) 2 ESO C,Absència, 
111,440,2014-10-16,12:50:00-13:45:00,(LC2)Llengua catalana i literatura,(ESO LOE 2 C) 2 ESO C,Absència, 
111,440,2014-10-20,11:35:00-12:35:00,(LC2)Llengua catalana i literatura,(ESO LOE 2 C) 2 ESO C,Absència, 
180,439,2014-10-21,08:15:00-09:15:00,(MA2)Matemàtiques,(ESO LOE 2 C) 2 ESO C,Absència,
39,439,2014-10-21,08:15:00-09:15:00,(MA2)Matemàtiques,(ESO LOE 2 C) 2 ESO C,Absència,
140,439,2014-10-21,08:15:00-09:15:00,(MA2)Matemàtiques,(ESO LOE 2 C) 2 ESO C,Retard,
143,439,2014-10-21,08:15:00-09:15:00,(MA2)Matemàtiques,(ESO LOE 2 C) 2 ESO C,Retard,
78,446,2014-10-21,08:15:00-09:15:00,(IA2)Llengua estrangera Anglès,(ESO LOE 2 B) 2 ESO B,Absència,
76,459,2014-10-21,09:15:00-10:15:00,(CN2)Ciències de la naturalesa,(ESO LOE 2 B) 2 ESO B,Absència,
78,459,2014-10-21,09:15:00-10:15:00,(CN2)Ciències de la naturalesa,(ESO LOE 2 B) 2 ESO B,Absència,
59,459,2014-10-21,09:15:00-10:15:00,(CN2)Ciències de la naturalesa,(ESO LOE 2 B) 2 ESO B,Absència,
169,443,2014-10-21,10:40:00-11:35:00,(TE2)Tecnologies,(ESO LOE 2 A) 2 ESO A,Justificada,
175,443,2014-10-21,10:40:00-11:35:00,(TE2)Tecnologies,(ESO LOE 2 A) 2 ESO A,Absència,
38,443,2014-10-21,10:40:00-11:35:00,(TE2)Tecnologies,(ESO LOE 2 A) 2 ESO A,Absència,
