id_alumne,id_professor,dia,franja,materia,grup_curs,tipus_falta,comentari
240,446,2014-10-17,10:40:00-11:35:00,(IA1)Llengua estrangera Anglès,(ESO LOE 1 A) 1 ESO A,Absència, 
204,446,2014-10-16,11:35:00-12:35:00,(IA1)Llengua estrangera Anglès,(ESO LOE 1 A) 1 ESO A,Incident, 
259,446,2014-10-16,11:35:00-12:35:00,(IA1)Llengua estrangera Anglès,(ESO LOE 1 A) 1 ESO A,Incident, 
215,446,2014-10-16,11:35:00-12:35:00,(IA1)Llengua estrangera Anglès,(ESO LOE 1 A) 1 ESO A,Incident, 
232,446,2014-10-16,11:35:00-12:35:00,(IA1)Llengua estrangera Anglès,(ESO LOE 1 A) 1 ESO A,Incident, 
233,446,2014-10-16,11:35:00-12:35:00,(IA1)Llengua estrangera Anglès,(ESO LOE 1 A) 1 ESO A,Incident, 
239,446,2014-10-16,11:35:00-12:35:00,(IA1)Llengua estrangera Anglès,(ESO LOE 1 A) 1 ESO A,Absència, 
262,446,2014-10-13,13:45:00-14:45:00,(IA1)Llengua estrangera Anglès,(ESO LOE 1 A) 1 ESO A,Absència, 
38,446,2014-10-17,11:35:00-12:35:00,(IA2)Llengua estrangera Anglès,(ESO LOE 2 A) 2 ESO A,Justificada, 
150,446,2014-10-17,11:35:00-12:35:00,(IA2)Llengua estrangera Anglès,(ESO LOE 2 A) 2 ESO A,Justificada, 
116,446,2014-10-17,11:35:00-12:35:00,(IA2)Llengua estrangera Anglès,(ESO LOE 2 A) 2 ESO A,Absència, 
169,446,2014-10-17,11:35:00-12:35:00,(IA2)Llengua estrangera Anglès,(ESO LOE 2 A) 2 ESO A,Justificada, 
136,446,2014-10-17,11:35:00-12:35:00,(IA2)Llengua estrangera Anglès,(ESO LOE 2 A) 2 ESO A,Incident, 
170,446,2014-10-17,11:35:00-12:35:00,(IA2)Llengua estrangera Anglès,(ESO LOE 2 A) 2 ESO A,Incident, 
305,431,2014-10-20,11:35:00-12:35:00,(QI)Química,(BATX LOE 1 A) 1 BATX ,Absència,
311,431,2014-10-20,12:50:00-13:45:00,(CN3FQ)Ciències de la naturalesa - Física i Química,(ESO LOE 3 C) 3 ESO C,Justificada,
229,432,2014-10-20,12:50:00-13:45:00,(CS1)Ciències socials, geografia i història,(ESO LOE 1 B) 1 ESO B,Justificada,
191,432,2014-10-20,12:50:00-13:45:00,(CS1)Ciències socials, geografia i història,(ESO LOE 1 B) 1 ESO B,Absència,
305,431,2014-10-20,13:45:00-14:45:00,(TU)Tutoria,(BATX LOE 1 A) 1 BATX ,Absència,
145,440,2014-09-15,10:40:00-11:35:00,(LC1)Llengua catalana i literatura,(ESO LOE 1 A) 1 ESO A,Absència, 
189,440,2014-09-16,08:15:00-09:15:00,(LC1)Llengua catalana i literatura,(ESO LOE 1 A) 1 ESO A,Absència, 
239,440,2014-09-16,08:15:00-09:15:00,(LC1)Llengua catalana i literatura,(ESO LOE 1 A) 1 ESO A,Absència, 
